GPU,CNT
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1070 with Max-Q Design/PCIe/SSE2""",4627
"""INTEL  Class 3 Intel Intel(R) Iris(R) Plus Graphics""",4533
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon R9 M290X OpenGL Engine""",4519
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon R5 Graphics""",4503
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) Vega 6 Graphics""",4323
"""INTEL  Class 3 Intel Inc. Intel HD Graphics 3000 OpenGL Engine""",4321
"""NVIDIA Class 3 NVIDIA Corporation NVIDIA GeForce GT 755M OpenGL Engine""",4302
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 6770M OpenGL Engine""",4289
"""INTEL  Class 2 Intel Intel(R) UHD Graphics 600""",4270
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon HD 6670""",4177
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTX 645/PCIe/SSE2""",4150
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro Vega 20 OpenGL Engine""",4148
"""INTEL  Class 0 Intel Intel Bear Lake B""",4095
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 7600M Series""",4091
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon(TM) RX 560 Series""",4069
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 560 Ti/PCIe/SSE2""",4062
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 575 OpenGL Engine""",4028
"""ATI    Class 4 ATI Technologies Inc. Radeon RX 560X""",4023
"""ATI    Class 3 ATI Technologies Inc. Radeon (TM) 520""",3994
"""INTEL  Class 3 Intel Intel(R) HD Graphics 510""",3989
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 6310 Graphics""",3984
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 220/PCIe/SSE2""",3976
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 8330""",3955
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon (TM) R9 200 Series""",3910
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon (TM) R5 M330""",3901
"""NVIDIA Class 3 NVIDIA Corporation NVIDIA GeForce GTX 775M OpenGL Engine""",3854
"""NVIDIA Class 3 NVIDIA Corporation NVIDIA GeForce GTX 780M OpenGL Engine""",3844
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon(TM) RX Vega 10 Graphics""",3840
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 650 Ti BOOST/PCIe/SSE2""",3713
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2080 Super with Max-Q Design/PCIe/SSE2""",3710
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 7310 Graphics""",3699
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon R9 M295X OpenGL Engine""",3621
"""ATI    Class 4 ATI Technologies Inc. Radeon(TM) RX 460 Graphics""",3599
"""NVIDIA Class 4 NVIDIA Corporation GeForce GT 635/PCIe/SSE2""",3565
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon HD 6800 Series""",3565
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 870M/PCIe/SSE2""",3486
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 460 OpenGL Engine""",3463
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon(TM) RX 560 Series""",3418
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon(TM) Graphics""",3414
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon (TM) R7 370 Series""",3353
"""NVIDIA Class 5 NVIDIA Corporation GeForce RTX 2080 Super/PCIe/SSE2""",3326
"""INTEL  Class 1 Intel Mobile Intel(R) 4 Series Express Chipset Family""",3325
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon(TM) R3 Graphics""",3313
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon HD 6700 Series""",3293
"""NVIDIA Class 4 NVIDIA Corporation GeForce GT 720M/PCIe/SSE2""",3257
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon HD 5800 Series""",3239
"""NVIDIA Class 5 NVIDIA Corporation GeForce MX350/PCIe/SSE2""",3216
"""INTEL  Class 3 Intel Inc. Intel(R) Iris(TM) Graphics 550""",3201
"""NVIDIA Class 3 NVIDIA Corporation NVIDIA GeForce 9400 OpenGL Engine""",3183
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 7500 Series""",3176
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 705/PCIe/SSE2""",3161
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon R5 M335""",3161
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 5450""",3148
"""ATI    Class 3 ATI Technologies Inc. AMD Mobility Radeon HD 5000 Series""",3144
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon HD 7900 Series""",3129
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro Vega 48 OpenGL Engine""",3088
"""NVIDIA Class 4 NVIDIA Corporation GeForce 9600 GT/PCIe/SSE2""",3058
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) Vega 8 Mobile Graphics""",2989
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon R7 240""",2971
"""INTEL  Class 2 Intel Intel(R) HD Graphics 4400""",2944
"""NVIDIA Class 4 NVIDIA Corporation GeForce GTX 560M/PCIe/SSE2""",2924
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro Vega 56 OpenGL Engine""",2921
"""INTEL  Class 2 Intel Intel(R) HD Graphics 4600""",2893
"""NVIDIA Class 2 NVIDIA Corporation GeForce 8400GS/PCIe/SSE2""",2880
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon (TM) R7 M340""",2856
"""ATI    Class 4 ATI Technologies Inc. Radeon (TM) 530""",2854
"""NVIDIA Class 4 NVIDIA Corporation Quadro K1100M/PCIe/SSE2""",2843
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) 530""",2834
